dt,price
16/06/2017 00:00,7463.54
19/06/2017 00:00,7523.81
20/06/2017 00:00,7472.71
21/06/2017 00:00,7447.79
22/06/2017 00:00,7439.29
23/06/2017 00:00,7424.13
26/06/2017 00:00,7446.8
27/06/2017 00:00,7434.36
28/06/2017 00:00,7387.8
29/06/2017 00:00,7350.32
30/06/2017 00:00,7312.72
03/07/2017 00:00,7377.09
04/07/2017 00:00,7357.23
05/07/2017 00:00,7367.6
06/07/2017 00:00,7337.28
07/07/2017 00:00,7350.92
10/07/2017 00:00,7370.03
11/07/2017 00:00,7329.76
12/07/2017 00:00,7416.93
13/07/2017 00:00,7413.44
14/07/2017 00:00,7378.39
17/07/2017 00:00,7404.13
18/07/2017 00:00,7390.22
19/07/2017 00:00,7430.91
20/07/2017 00:00,7487.87
21/07/2017 00:00,7452.91
24/07/2017 00:00,7377.73
25/07/2017 00:00,7434.82
26/07/2017 00:00,7452.32
27/07/2017 00:00,7443.01
28/07/2017 00:00,7368.37
31/07/2017 00:00,7372
01/08/2017 00:00,7423.66
02/08/2017 00:00,7411.43
03/08/2017 00:00,7474.77
04/08/2017 00:00,7511.71
07/08/2017 00:00,7531.94
08/08/2017 00:00,7542.73
09/08/2017 00:00,7498.06
10/08/2017 00:00,7389.94
11/08/2017 00:00,7309.96
14/08/2017 00:00,7353.89
15/08/2017 00:00,7383.85
16/08/2017 00:00,7433.03
17/08/2017 00:00,7387.87
18/08/2017 00:00,7323.98
21/08/2017 00:00,7318.88
22/08/2017 00:00,7381.74
23/08/2017 00:00,7382.65
24/08/2017 00:00,7407.06
25/08/2017 00:00,7401.46
29/08/2017 00:00,7337.43
30/08/2017 00:00,7365.26
31/08/2017 00:00,7430.62
01/09/2017 00:00,7438.5
04/09/2017 00:00,7411.47
05/09/2017 00:00,7372.92
06/09/2017 00:00,7354.13
07/09/2017 00:00,7396.98
08/09/2017 00:00,7377.6
11/09/2017 00:00,7413.59
12/09/2017 00:00,7400.69
13/09/2017 00:00,7379.7
14/09/2017 00:00,7295.39
15/09/2017 00:00,7215.47
18/09/2017 00:00,7253.28
19/09/2017 00:00,7275.25
20/09/2017 00:00,7271.95
21/09/2017 00:00,7263.9
22/09/2017 00:00,7310.64
25/09/2017 00:00,7301.29
26/09/2017 00:00,7285.74
27/09/2017 00:00,7313.51
28/09/2017 00:00,7322.82
29/09/2017 00:00,7372.76
02/10/2017 00:00,7438.84
03/10/2017 00:00,7468.11
04/10/2017 00:00,7467.58
05/10/2017 00:00,7507.99
06/10/2017 00:00,7522.87
09/10/2017 00:00,7507.89
10/10/2017 00:00,7538.27
11/10/2017 00:00,7533.81
12/10/2017 00:00,7556.24
13/10/2017 00:00,7535.44
16/10/2017 00:00,7526.97
17/10/2017 00:00,7516.17
18/10/2017 00:00,7542.87
19/10/2017 00:00,7523.04
20/10/2017 00:00,7523.23
23/10/2017 00:00,7524.45
24/10/2017 00:00,7526.54
25/10/2017 00:00,7447.21
26/10/2017 00:00,7486.5
27/10/2017 00:00,7505.03
30/10/2017 00:00,7487.81
31/10/2017 00:00,7493.08
01/11/2017 00:00,7487.96
02/11/2017 00:00,7555.32
03/11/2017 00:00,7560.35
06/11/2017 00:00,7562.28
07/11/2017 00:00,7513.11
08/11/2017 00:00,7529.72
09/11/2017 00:00,7484.1
10/11/2017 00:00,7432.99
13/11/2017 00:00,7415.18
14/11/2017 00:00,7414.42
15/11/2017 00:00,7372.61
16/11/2017 00:00,7386.94
17/11/2017 00:00,7380.68
20/11/2017 00:00,7389.46
21/11/2017 00:00,7411.34
22/11/2017 00:00,7419.02
23/11/2017 00:00,7417.24
24/11/2017 00:00,7409.64
27/11/2017 00:00,7383.9
28/11/2017 00:00,7460.65
29/11/2017 00:00,7393.56
30/11/2017 00:00,7326.67
01/12/2017 00:00,7300.49
04/12/2017 00:00,7338.97
05/12/2017 00:00,7327.5
06/12/2017 00:00,7348.03
07/12/2017 00:00,7320.75
08/12/2017 00:00,7393.96
11/12/2017 00:00,7453.48
12/12/2017 00:00,7500.41
13/12/2017 00:00,7496.51
14/12/2017 00:00,7448.12
15/12/2017 00:00,7490.57
18/12/2017 00:00,7537.01
19/12/2017 00:00,7544.09
20/12/2017 00:00,7525.22
21/12/2017 00:00,7603.98
22/12/2017 00:00,7592.66
